Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Scared To Start,Scared To Start,Michael Marcagi,1/12/2024,USWB12400001,469,71.2,"284,119,669","23,417","101,687,677",84.0,"14,777,855","145,459",,"509,611","18,832,300","290,887,958",71.0,"33,810",327,59.0,"8,912,821",67.0,"25,145,649","3,122","1,957,942","857,426",,0
Super Freaky Girl,Super Freaky Girl,Nicki Minaj,8/12/2022,USUM72215262,468,71.2,"549,382,975","88,241","44,497,733",64.0,"128,432,797","2,507,944","777,200","583,041,946","5,107,877,505","1,132,042,114",93.0,"331,869","3,028",32.0,"1,112,754",82.0,"47,944,657","27,729",,"2,630,957",,1
Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),Calvin Harris,3/10/2023,GBARL2300300,470,71.1,"425,999,315","91,229","100,955,340",74.0,"81,238,584","760,116","144,223","20,190,291","342,295,893","741,916,635",183.0,"21,709",40,132.0,"4,296,671",79.0,,,"12,510,698","4,349,283",,0
Somebody That I Used To Know,Making Mirrors (Deluxe),Gotye,1/1/2011,AUZS21100040,471,71.0,"1,752,826,514","352,833","87,651,528",74.0,"2,729,174,469","22,532,779","312,945","551,329,120","4,679,645,090","490,308,209",202.0,"301,048",474,115.0,"967,797",71.0,"878,651,542","1,581,901","15,266,983","37,339,828",,0
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,11/5/2015,USAT21502909,474,70.6,"1,859,886,400","161,156","90,365,431",78.0,"3,951,663,770","23,086,917","75,102","49,222,866","265,917,250","2,123,773,688",2.0,"82,648",52,110.0,"964,719",32.0,"174,287,836","153,399",,,,0
Oh No,Cold As Ice,Kreepa,12/13/2019,USUYG1287925,473,70.6,"40,284,121","14,548","3,212,878",41.0,"17,978,707","466,425","18,821,381","4,959,548,763","61,088,562,861","994,245",15.0,113,333,12.0,"240,117",4.0,"384,569","3,503",,"31,859",,1
Pop Out (feat. Lil Tjay),Pop Out (feat. Lil TJay),Polo G,2/7/2019,USQX91900309,472,70.6,"858,059,276","181,654","27,803,039",70.0,"464,768,581","3,626,173","732,132","48,817,948","417,831,392","25,717,036",46.0,"31,276",73,16.0,"326,481",15.0,"102,388,116","214,657","144,090,448","2,592,470",,1
7 Years,Lukas Graham (Blue Album),Lukas Graham,6/16/2015,USWB11506516,475,70.5,"1,916,203,330","218,955","70,223,741",78.0,"2,155,590,787","17,104,498","1,080,789","102,852,730","877,998,186","1,859,362,069",176.0,"119,470",79,62.0,"247,841",29.0,"608,909,370","838,417","43,283,341",,,0
Something in the Orange,Something in the Orange,Zach Bryan,4/22/2022,USWB12201213,478,70.4,"891,578,597","134,151","56,220,971",82.0,"121,756,122","612,540","428,919","61,522,352","536,850,823","545,454,569",78.0,8,86,37.0,"4,894,376",69.0,"94,783,587","127,557","13,539,327","1,548,284",,0
AMARGURA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2/24/2023,USUM72222552,477,70.4,"629,102,459","31,206","51,913,972",81.0,"317,295,184","924,600","969,500","28,700,787","404,330,162","814,335,857",45.0,"46,179",387,30.0,"3,549,738",23.0,"38,480,759","8,821",,"1,252,595",,1
"Happy - From ""Despicable Me 2""",538 Hitzone Best Of 2013,Pharrell Williams,1/1/2013,USQ4E1300686,476,70.4,"1,379,786,786","204,118","68,556,599",75.0,"1,307,002,701","8,641,116","3,028,049","187,452,999","2,112,220,730","1,231,886,563",453.0,"304,081",,293.0,"1,837,708",117.0,"623,561,936","2,990,195",,"19,268,856",,0
I Wanna Party,I Wanna Party - Single,,5/31/2024,QZYFZ2445017,482,70.3,,,,,,,,,,,,,,,,,,,,,,0
Bailando Bachata,Bailando Bachata - Single,Chayanne,5/25/2023,USSD12201328,479,70.2,"136,724,343","15,391","18,104,979",72.0,"252,644,706","1,115,099","1,500,000","24,961,548","525,208,493","1,343,661,668",18.0,"39,119",4,25.0,"1,739,239",25.0,"15,483,578","5,649",,"1,152,569",,0
La Bebe (Remix) [Apple Music Live],Apple Music Live: Peso Pluma,Peso Pluma,12/6/2023,QMFMF2394976,480,70.2,,,,,,,"2,303,000","191,592,684","2,172,310,968",,,,33,,,,,,,"3,940",,0
Treat You Better,Treat You Better,Shawn Mendes,6/3/2016,USUM71604711,481,70.2,"2,164,074,552","183,260","79,238,401",80.0,"2,766,700,889","14,538,731","656,214","34,125,620","218,876,789","1,763,875,267",110.0,"229,473",361,370.0,"421,827",25.0,"406,331,285","165,727",,"9,988,881",,0
Feliz Cumpleaï¿½ï¿½os Fe,Feliz Cumpleaï¿½ï¿½os Fe,Feid,8/19/2022,USUM72215366,483,70.1,"944,833,760","84,300","40,737,356",78.0,"442,672,273","1,382,190","712,759","110,146,879","1,137,735,925","656,176,233",58.0,"35,382",847,29.0,"4,232,864",38.0,"5,607,959","2,694",,"1,105,660",,0
Let Her Go,Let Her Go,Passenger,7/27/2012,GBMQN1200012,484,70.1,"2,252,713,547","84,884","25,149,126",69.0,"3,967,431,755","18,261,574",822,"19,565,297","198,665,893","1,802,593,895",153.0,"128,380",,12.0,"16,047",14.0,"992,473,803","965,474","57,076,563",,,0
Fall Back,Fall Back / Selfish Game - Single,Lithe,3/21/2024,AUMEV2435468,485,70.1,"78,227,549","10,811","34,967,691",81.0,"18,048,583","346,316","1,827","366,700","5,400,000","10,740,206",59.0,604,,7.0,"10,139,201",36.0,"350,778","1,442","2,612,424","1,712,744",,0
Stressed Out,Stressed Out,Twenty One Pilots,4/28/2015,USAT21500597,482,70.1,"2,313,532,702","333,612","85,684,817",79.0,"3,241,796,669","22,573,742","440,911","82,148,305","664,725,202","508,271,083",10.0,"257,332",288,93.0,"590,706",50.0,,,,,,0
Astronaut In The Ocean,Astronaut In The Ocean (International Remixes),Masked Wolf,1/1/2019,USAT22100017,486,70.0,"1,251,675,613","233,472","41,467,312",67.0,"1,001,433,936","13,378,087","149,047","21,845,741","338,873,585","559,326,384",245.0,"263,773","1,544",65.0,"1,861,112",35.0,"317,474,727","297,850",,"14,636,399",,1
All of Me,Love In The Future (South Africa Tour Edition),John Legend,1/1/2012,USSM11303954,487,69.8,"2,382,407,025","259,202","144,805,002",80.0,"3,064,193,777","17,820,289","536,497","59,268,693","643,209,321","1,769,031,393",295.0,"225,220",341,229.0,"2,030,488",107.0,"1,043,817,740","1,278,265",,"28,058,207",,0
2055,2055,Sleepy Hallow,4/14/2021,USRC12100442,488,69.7,"811,700,245","195,603","31,185,690",77.0,"168,936,854","1,450,642","321,061","90,460,360","752,325,431","214,637,799",39.0,"5,018",232,18.0,"217,873",8.0,"7,644,784","21,061","66,695,368","925,014",,1
Bandit,Bandit - Single,Don Toliver,2/1/2024,USAT22400561,490,69.6,"152,597,421","19,834","64,067,368",12.0,"6,556,571","181,948",,"5,037,290","98,100,600","578,162,886",27.0,"40,104","1,312",17.0,"1,282,315",37.0,"2,807,438","1,824","5,005,977","397,211",,1
Redbone,Redbone,Childish Gambino,11/17/2016,USYAH1600107,489,69.6,"1,615,152,539","377,159","51,251,842",76.0,"887,924,965","7,755,679","111,904","56,162,755","430,258,743","5,477,326",271.0,"52,893",137,69.0,"241,966",86.0,"283,815,218","303,599","87,687,804","12,370,090",,1
Yimmy Yimmy,Yimmy Yimmy (feat. Jacqueline Fernandez) - Single,Tayc,3/8/2024,USA2P2410436,491,69.5,"28,543,791","1,305","5,420,569",74.0,"148,165,738","1,392,549",,"2,333,587","37,252,006","44,349,246",6.0,,,3.0,"452,659",10.0,"4,285",8,,"291,383",,0
"This Is The Thanks I Get?! - From ""Wish""","This Is The Thanks I Get?! (From ""Wish"")",Chris Pine,10/25/2023,USWD12328244,492,69.4,"15,090,071","1,405","7,665,573",,"6,176,518","49,281","2,600,000","15,257,747","182,005,109","297,428",16.0,11,,1.0,18,7.0,"572,150","1,913",,"25,335",,0
We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),Carolina Gaitï¿½ï¿½n - La G,11/19/2021,USWD12112915,493,69.4,"502,781,351","57,858","20,151,204",68.0,"749,366,767","5,566,798","601,478","415,546,697","3,341,780,836","65,811,641",88.0,"22,082",,8.0,"183,506",34.0,"66,651,535","277,556","5,144,020","828,770",,0
You Proof,You Proof,Morgan Wallen,5/13/2022,USUG12203266,494,69.3,"644,437,397","64,367","18,795,673",79.0,"141,964,689","814,824","128,357","28,267,176","327,463,451","437,506,457",49.0,"340,292",301,7.0,"100,845",29.0,"272,571,584","45,356","6,380,974","899,954",,0
Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,Imagine Dragons,9/3/2021,USUM72119916,495,69.2,"1,502,382,072","240,419","57,503,380",75.0,,,"913,200","449,105,708","4,053,240,923",,118.0,"137,391",,55.0,"2,576,050",65.0,"36,985,295","73,848",,,,0
Break My Heart,Break My Heart,Dua Lipa,3/25/2020,GBAHT1901303,496,69.2,"1,198,689,895","130,486","49,149,923",71.0,"761,387,435","6,874,611","975,132","134,321,535","1,509,626,629","2,047,745,592",203.0,"586,919",348,301.0,"405,292",37.0,"190,687,007","33,201",,"6,690,156",,0
Shut Down,BORN PINK,BLACKPINK,9/16/2022,KRA402200020,497,69.0,"654,818,451","39,852","17,682,503",67.0,"633,781,726","11,421,404","844,032","374,048,198","3,365,539,262","383,386,318",34.0,"18,744",201,15.0,"202,016",29.0,"2,834,793","6,453",,"909,449",,0
